    20    20    20 : grid size
   .0000000000       .0000000000       .0000000000      0.3459823323E-01
   .4932565000       .0000000000       .0000000000      0.3274678278E-01
   .9865130000       .0000000000       .0000000000      0.2787310572E-01
   1.479769500       .0000000000       .0000000000      0.2169935094E-01
   1.973026000       .0000000000       .0000000000      0.1604283497E-01
   2.466282500       .0000000000       .0000000000      0.1183386356E-01
   2.959539000       .0000000000       .0000000000      0.9030283300E-02
   3.452795500       .0000000000       .0000000000      0.7233609554E-02
   3.946052000       .0000000000       .0000000000      0.6117868011E-02
   4.439308500       .0000000000       .0000000000      0.5501906263E-02
   4.932565000       .0000000000       .0000000000      0.5304608960E-02
   5.425821500       .0000000000       .0000000000      0.5501906263E-02
   5.919078000       .0000000000       .0000000000      0.6117868011E-02
   6.412334500       .0000000000       .0000000000      0.7233609554E-02
   6.905591000       .0000000000       .0000000000      0.9030283300E-02
   7.398847500       .0000000000       .0000000000      0.1183386356E-01
   7.892104000       .0000000000       .0000000000      0.1604283497E-01
   8.385360500       .0000000000       .0000000000      0.2169935094E-01
   8.878617000       .0000000000       .0000000000      0.2787310572E-01
   9.371873500       .0000000000       .0000000000      0.3274678278E-01
   .0000000000       .8034835000       .0000000000      0.3247006679E-01
   .4932565000       .8034835000       .0000000000      0.3049933585E-01
   .9865130000       .8034835000       .0000000000      0.2604052931E-01
   1.479769500       .8034835000       .0000000000      0.2052301069E-01
   1.973026000       .8034835000       .0000000000      0.1542186185E-01
   2.466282500       .8034835000       .0000000000      0.1165563758E-01
   2.959539000       .8034835000       .0000000000      0.9294246169E-02
   3.452795500       .8034835000       .0000000000      0.8060225738E-02
   3.946052000       .8034835000       .0000000000      0.7644157369E-02
   4.439308500       .8034835000       .0000000000      0.7674178390E-02
   4.932565000       .8034835000       .0000000000      0.7747229622E-02
   5.425821500       .8034835000       .0000000000      0.7674178390E-02
   5.919078000       .8034835000       .0000000000      0.7644157369E-02
   6.412334500       .8034835000       .0000000000      0.8060225738E-02
   6.905591000       .8034835000       .0000000000      0.9294246169E-02
   7.398847500       .8034835000       .0000000000      0.1165563758E-01
   7.892104000       .8034835000       .0000000000      0.1542186185E-01
   8.385360500       .8034835000       .0000000000      0.2052301069E-01
   8.878617000       .8034835000       .0000000000      0.2604052931E-01
   9.371873500       .8034835000       .0000000000      0.3049933585E-01
   .0000000000       1.606967000       .0000000000      0.2570722012E-01
   .4932565000       1.606967000       .0000000000      0.2434555379E-01
   .9865130000       1.606967000       .0000000000      0.2126739485E-01
   1.479769500       1.606967000       .0000000000      0.1734175187E-01
   1.973026000       1.606967000       .0000000000      0.1387892496E-01
   2.466282500       1.606967000       .0000000000      0.1193900613E-01
   2.959539000       1.606967000       .0000000000      0.1232245761E-01
   3.452795500       1.606967000       .0000000000      0.1553540020E-01
   3.946052000       1.606967000       .0000000000      0.2099492846E-01
   4.439308500       1.606967000       .0000000000      0.2738725851E-01
   4.932565000       1.606967000       .0000000000      0.2998735767E-01
   5.425821500       1.606967000       .0000000000      0.2738725851E-01
   5.919078000       1.606967000       .0000000000      0.2099492846E-01
   6.412334500       1.606967000       .0000000000      0.1553540020E-01
   6.905591000       1.606967000       .0000000000      0.1232245761E-01
   7.398847500       1.606967000       .0000000000      0.1193900613E-01
   7.892104000       1.606967000       .0000000000      0.1387892496E-01
   8.385360500       1.606967000       .0000000000      0.1734175187E-01
   8.878617000       1.606967000       .0000000000      0.2126739485E-01
   9.371873500       1.606967000       .0000000000      0.2434555379E-01
   .0000000000       2.410450500       .0000000000      0.1791824643E-01
   .4932565000       2.410450500       .0000000000      0.1723162565E-01
   .9865130000       2.410450500       .0000000000      0.1548742862E-01
   1.479769500       2.410450500       .0000000000      0.1354733005E-01
   1.973026000       2.410450500       .0000000000      0.1278557634E-01
   2.466282500       2.410450500       .0000000000      0.1552741988E-01
   2.959539000       2.410450500       .0000000000      0.2570226792E-01
   3.452795500       2.410450500       .0000000000      0.4937480779E-01
   3.946052000       2.410450500       .0000000000      0.8899759512E-01
   4.439308500       2.410450500       .0000000000       .1304933274    
   4.932565000       2.410450500       .0000000000       .1488127634    
   5.425821500       2.410450500       .0000000000       .1304933274    
   5.919078000       2.410450500       .0000000000      0.8899759512E-01
   6.412334500       2.410450500       .0000000000      0.4937480779E-01
   6.905591000       2.410450500       .0000000000      0.2570226792E-01
   7.398847500       2.410450500       .0000000000      0.1552741988E-01
   7.892104000       2.410450500       .0000000000      0.1278557634E-01
   8.385360500       2.410450500       .0000000000      0.1354733005E-01
   8.878617000       2.410450500       .0000000000      0.1548742862E-01
   9.371873500       2.410450500       .0000000000      0.1723162565E-01
   .0000000000       3.213934000       .0000000000      0.1250991328E-01
